Date,Daily Avg Temp. in DegC
1961-01-01,5.440352439880371
1961-01-02,4.961855888366699
1961-01-03,6.366420269012451
1961-01-04,3.9450254440307617
1961-01-05,3.4075000286102295
1961-01-06,3.4580020904541016
1961-01-07,2.8425064086914062
1961-01-08,2.4166629314422607
1961-01-09,5.284681797027588
1961-01-10,4.9823994636535645
1961-01-11,2.501919984817505
1961-01-12,2.78446364402771
1961-01-13,3.198814868927002
1961-01-14,3.2299649715423584
1961-01-15,4.02696418762207
1961-01-16,1.9129486083984375
1961-01-17,2.636195659637451
1961-01-18,3.7830729484558105
1961-01-19,6.626406669616699
1961-01-20,5.524598598480225
1961-01-21,4.381292343139648
1961-01-22,4.557506084442139
1961-01-23,6.54121732711792
1961-01-24,7.450347423553467
1961-01-25,6.71324348449707
1961-01-26,7.581219673156738
1961-01-27,6.722431659698486
1961-01-28,8.354077339172363
1961-01-29,8.14735221862793
1961-01-30,7.635751724243164
1961-01-31,5.7170305252075195
1961-02-01,3.0073180198669434
1961-02-02,3.966949701309204
1961-02-03,5.133091926574707
1961-02-04,5.317347049713135
1961-02-05,5.381552696228027
1961-02-06,7.139569282531738
1961-02-07,6.18154764175415
1961-02-08,7.526806831359863
1961-02-09,7.1815595626831055
1961-02-10,6.449846267700195
1961-02-11,7.608937740325928
1961-02-12,6.1692304611206055
1961-02-13,6.279006481170654
1961-02-14,5.347196578979492
1961-02-15,4.731750011444092
1961-02-16,4.378965377807617
1961-02-17,5.382384300231934
1961-02-18,5.472170829772949
1961-02-19,7.138725280761719
1961-02-20,7.066217422485352
1961-02-21,7.108116149902344
1961-02-22,6.936159610748291
1961-02-23,7.603989124298096
1961-02-24,9.121967315673828
1961-02-25,9.64530086517334
1961-02-26,9.858529090881348
1961-02-27,8.841266632080078
1961-02-28,9.711790084838867
1961-03-01,9.402168273925781
1961-03-02,11.43984603881836
1961-03-03,8.187699317932129
1961-03-04,6.831552028656006
1961-03-05,8.079299926757812
1961-03-06,8.221434593200684
1961-03-07,8.000614166259766
1961-03-08,8.24931812286377
1961-03-09,8.266554832458496
1961-03-10,7.575005531311035
1961-03-11,8.492020606994629
1961-03-12,9.959900856018066
1961-03-13,11.315347671508789
1961-03-14,10.868696212768555
1961-03-15,11.721110343933105
1961-03-16,12.982531547546387
1961-03-17,13.405363082885742
1961-03-18,15.234624862670898
1961-03-19,14.943863868713379
1961-03-20,13.29038143157959
1961-03-21,10.691333770751953
1961-03-22,10.984121322631836
1961-03-23,9.650211334228516
1961-03-24,9.820844650268555
1961-03-25,10.638360023498535
1961-03-26,11.254701614379883
1961-03-27,9.822571754455566
1961-03-28,11.294262886047363
1961-03-29,13.171271324157715
1961-03-30,12.114264488220215
1961-03-31,12.765377044677734
1961-04-01,14.525890350341797
1961-04-02,16.829694747924805
1961-04-03,19.97159194946289
1961-04-04,19.44440460205078
1961-04-05,17.11777114868164
1961-04-06,16.331445693969727
1961-04-07,15.948741912841797
1961-04-08,14.546631813049316
1961-04-09,11.800899505615234
1961-04-10,12.945562362670898
1961-04-11,14.625372886657715
1961-04-12,16.90380859375
1961-04-13,20.00075340270996
1961-04-14,19.95948600769043
1961-04-15,17.72848129272461
1961-04-16,16.204803466796875
1961-04-17,16.245386123657227
1961-04-18,17.044702529907227
1961-04-19,18.64199447631836
1961-04-20,20.251970291137695
1961-04-21,21.593544006347656
1961-04-22,20.361793518066406
1961-04-23,20.340343475341797
1961-04-24,15.149406433105469
1961-04-25,16.27613639831543
1961-04-26,17.102022171020508
1961-04-27,18.31623077392578
1961-04-28,20.346864700317383
1961-04-29,19.962589263916016
1961-04-30,12.572477340698242
1961-05-01,13.675420761108398
1961-05-02,17.11969757080078
1961-05-03,20.849529266357422
1961-05-04,19.929529190063477
1961-05-05,20.62667465209961
1961-05-06,21.59851837158203
1961-05-07,23.445375442504883
1961-05-08,25.495059967041016
1961-05-09,25.470470428466797
1961-05-10,21.824600219726562
1961-05-11,19.68391227722168
1961-05-12,20.028268814086914
1961-05-13,21.999881744384766
1961-05-14,22.7346248626709
1961-05-15,21.41117286682129
1961-05-16,18.6283016204834
1961-05-17,20.258808135986328
1961-05-18,22.822490692138672
1961-05-19,21.945737838745117
1961-05-20,21.779956817626953
1961-05-21,18.829423904418945
1961-05-22,20.099363327026367
1961-05-23,21.433008193969727
1961-05-24,22.63384246826172
1961-05-25,24.08919334411621
1961-05-26,20.415802001953125
1961-05-27,18.77668571472168
1961-05-28,20.08051109313965
1961-05-29,21.813594818115234
1961-05-30,21.419429779052734
1961-05-31,21.708589553833008
1961-06-01,22.766206741333008
1961-06-02,20.740432739257812
1961-06-03,20.121917724609375
1961-06-04,21.58094596862793
1961-06-05,24.6123046875
1961-06-06,21.939655303955078
1961-06-07,21.78240394592285
1961-06-08,24.981521606445312
1961-06-09,25.1834774017334
1961-06-10,26.155410766601562
1961-06-11,27.369102478027344
1961-06-12,27.91891860961914
1961-06-13,28.873567581176758
1961-06-14,29.490455627441406
1961-06-15,28.47956085205078
1961-06-16,26.358924865722656
1961-06-17,25.873735427856445
1961-06-18,26.53491973876953
1961-06-19,23.10828971862793
1961-06-20,22.441797256469727
1961-06-21,23.835901260375977
1961-06-22,25.799625396728516
1961-06-23,26.243303298950195
1961-06-24,25.664453506469727
1961-06-25,25.9447078704834
1961-06-26,25.189285278320312
1961-06-27,26.642650604248047
1961-06-28,24.775724411010742
1961-06-29,23.7554931640625
1961-06-30,25.066333770751953
1961-07-01,24.558212280273438
1961-07-02,26.0059757232666
1961-07-03,28.657411575317383
